task_id,n_expected,n_got,n_missing,is_complete
0,5,5,0,True
1,5,5,0,True
2,5,5,0,True
3,5,5,0,True
4,2,2,0,True
5,5,5,0,True
6,5,5,0,True
7,5,5,0,True
8,5,5,0,True
9,2,2,0,True
10,5,5,0,True
11,5,5,0,True
12,5,5,0,True
13,5,5,0,True
14,2,2,0,True
15,5,5,0,True
16,5,5,0,True
17,5,5,0,True
18,5,5,0,True
19,2,2,0,True
20,5,5,0,True
21,5,5,0,True
22,5,5,0,True
23,5,5,0,True
24,2,2,0,True
25,5,5,0,True
26,5,5,0,True
27,5,5,0,True
28,5,5,0,True
29,2,2,0,True
30,5,5,0,True
31,5,5,0,True
32,5,5,0,True
33,5,5,0,True
34,2,2,0,True
35,5,5,0,True
36,5,5,0,True
37,5,5,0,True
38,5,5,0,True
39,2,2,0,True
40,5,5,0,True
41,5,5,0,True
42,5,5,0,True
43,5,5,0,True
44,2,2,0,True
45,5,5,0,True
46,5,5,0,True
47,5,5,0,True
48,5,5,0,True
49,2,2,0,True
